payment_id,subscription_id,paid_at,amount,currency,payment_status
P006980,S00598,2023-01-01 05:42:00,499.0,PHP,SUCCESS
P006503,S00558,2023-01-03 16:52:00,299.0,PHP,SUCCESS
P007032,S00604,2023-01-06 14:28:00,1299.0,PHP,SUCCESS
P000093,S00009,2023-01-07 17:03:00,299.0,PHP,SUCCESS
P005621,S00488,2023-01-08 11:04:00,499.0,PHP,SUCCESS
P008716,S00746,2023-01-08 21:32:00,499.0,PHP,SUCCESS
P002685,S00237,2023-01-09 16:30:00,899.0,PHP,SUCCESS
P006059,S00522,2023-01-10 05:58:00,1299.0,PHP,SUCCESS
P008846,S00755,2023-01-11 06:39:00,299.0,PHP,SUCCESS
P001098,S00099,2023-01-11 17:05:00,899.0,PHP,SUCCESS
P005742,S00499,2023-01-12 17:38:00,299.0,PHP,SUCCESS
P002136,S00186,2023-01-13 12:34:00,8.97,USD,SUCCESS
P004297,S00374,2023-01-14 13:51:00,499.0,PHP,SUCCESS
P005820,S00505,2023-01-15 08:26:00,-899.0,PHP,REFUNDED
P004855,S00425,2023-01-16 10:04:00,299.0,PHP,SUCCESS
P008058,S00697,2023-01-16 23:32:00,299.0,PHP,SUCCESS
P008918,S00762,2023-01-18 06:56:00,899.0,PHP,SUCCESS
P002373,S00205,2023-01-18 23:45:00,299.0,PHP,SUCCESS
P009081,S00776,2023-01-19 14:11:00,899.0,PHP,SUCCESS
P001583,S00142,2023-01-20 16:41:00,899.0,PHP,SUCCESS
P005800,S00504,2023-01-22 00:54:00,299.0,PHP,SUCCESS
P007468,S00647,2023-01-22 06:14:00,899.0,PHP,SUCCESS
P002137,S00186,2023-02-01 11:27:00,499.0,PHP,SUCCESS
P009082,S00776,2023-02-03 11:34:00,899.0,PHP,SUCCESS
P004422,S00382,2023-02-03 18:18:00,499.0,PHP,SUCCESS
P008919,S00762,2023-02-03 20:38:00,899.0,PHP,SUCCESS
P008059,S00697,2023-02-04 17:40:00,299.0,PHP,SUCCESS
P008131,S00703,2023-02-04 19:35:00,299.0,PHP,SUCCESS
P003637,S00317,2023-02-07 14:52:00,899.0,PHP,FAILED
P005821,S00505,2023-02-07 16:26:00,899.0,PHP,SUCCESS
P008354,S00722,2023-02-08 04:05:00,499.0,PHP,SUCCESS
P004856,S00425,2023-02-08 05:55:00,299.0,PHP,SUCCESS
P008847,S00755,2023-02-09 13:28:00,299.0,PHP,SUCCESS
P005183,S00455,2023-02-09 21:44:00,899.0,PHP,SUCCESS
P002771,S00245,2023-02-10 05:23:00,499.0,PHP,SUCCESS
P002686,S00237,2023-02-10 18:53:00,899.0,PHP,SUCCESS
P000664,S00063,2023-02-11 08:44:00,899.0,PHP,SUCCESS
P004298,S00374,2023-02-11 18:17:00,499.0,PHP,SUCCESS
P007033,S00604,2023-02-11 19:10:00,1299.0,PHP,FAILED
P006664,S00571,2023-02-12 02:51:00,499.0,PHP,SUCCESS
P006060,S00522,2023-02-12 22:06:00,1299.0,PHP,SUCCESS
P002415,S00209,2023-02-13 02:10:00,499.0,PHP,SUCCESS
P001699,S00152,2023-02-13 05:24:00,499.0,PHP,SUCCESS
P000094,S00009,2023-02-14 08:16:00,299.0,PHP,SUCCESS
P005538,S00481,2023-02-15 05:52:00,899.0,PHP,SUCCESS
P006408,S00552,2023-02-15 23:40:00,299.0,PHP,SUCCESS
P006981,S00598,2023-02-16 16:27:00,499.0,PHP,SUCCESS
P006504,S00558,2023-02-17 18:08:00,299.0,PHP,SUCCESS
P006762,S00580,2023-02-18 05:26:00,299.0,PHP,SUCCESS
P005622,S00488,2023-02-18 19:57:00,499.0,PHP,SUCCESS
P005756,S00500,2023-02-19 12:46:00,299.0,PHP,SUCCESS
P009238,S00792,2023-02-20 05:55:00,-299.0,PHP,REFUNDED
P005801,S00504,2023-02-21 18:53:00,299.0,PHP,SUCCESS
P008717,S00746,2023-02-21 21:51:00,499.0,PHP,SUCCESS
P001584,S00142,2023-02-22 13:31:00,899.0,PHP,SUCCESS
P000422,S00038,2023-02-24 05:52:00,299.0,PHP,SUCCESS
P001840,S00164,2023-02-24 17:16:00,22.77,USD,REFUNDED
P001763,S00158,2023-02-24 23:00:00,299.0,PHP,SUCCESS
P001099,S00099,2023-02-25 00:53:00,899.0,PHP,SUCCESS
P008564,S00736,2023-02-26 06:31:00,1299.0,PHP,SUCCESS
P000209,S00020,2023-02-26 10:37:00,299.0,PHP,SUCCESS
P002374,S00205,2023-02-26 20:09:00,299.0,PHP,SUCCESS
P003806,S00333,2023-02-27 11:58:00,299.0,PHP,SUCCESS
P000610,S00057,2023-02-27 14:21:00,499.0,PHP,SUCCESS
P007469,S00647,2023-02-27 22:49:00,899.0,PHP,SUCCESS
P005743,S00499,2023-02-27 23:46:00,299.0,PHP,SUCCESS
P002638,S00232,2023-03-01 03:04:00,1299.0,PHP,SUCCESS
